epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,504.4,2.03111,2.75799,0.92657,0.45357,0.06851,0.08787,0.04413,2.47359,4.44648,0.95568,0.00032155,0.00032155,0.00032155
43,517.072,2.13781,2.89898,0.94385,0.50926,0.06764,0.09228,0.04193,2.52748,4.49491,0.96476,0.000314051,0.000314051,0.000314051
44,530.059,2.00731,2.82259,0.93782,0.49465,0.07778,0.09318,0.04089,2.53994,4.56211,0.96546,0.00030649,0.00030649,0.00030649
45,542.826,1.9652,2.67026,0.93812,0.49221,0.0959,0.09701,0.042,2.54793,4.76669,0.97654,0.000298877,0.000298877,0.000298877
46,555.791,2.04285,2.67854,0.93137,0.51316,0.09044,0.08944,0.04628,2.38339,4.47093,0.95649,0.000291218,0.000291218,0.000291218
47,568.794,2.13562,2.789,0.94446,0.54798,0.09849,0.10272,0.04915,2.39034,4.46117,0.95821,0.00028352,0.00028352,0.00028352
48,582.105,1.96325,2.64699,0.90701,0.65859,0.07129,0.10524,0.04659,2.45094,4.34213,0.96811,0.000275792,0.000275792,0.000275792
49,594.825,1.94729,2.59902,0.90616,0.54491,0.09465,0.10573,0.04893,2.34769,4.73542,0.95146,0.000268041,0.000268041,0.000268041
50,607.647,1.9763,2.61723,0.9206,0.39055,0.11583,0.10653,0.04485,2.44947,4.40115,0.9706,0.000260274,0.000260274,0.000260274
51,620.555,1.94526,2.57609,0.90577,0.49593,0.10384,0.11459,0.05622,2.35489,4.30511,0.96214,0.0002525,0.0002525,0.0002525
52,633.864,1.90841,2.54452,0.91368,0.66603,0.08168,0.11693,0.05559,2.31186,4.48863,0.95438,0.000244726,0.000244726,0.000244726
53,646.89,1.88007,2.52492,0.91271,0.43985,0.11933,0.1176,0.05201,2.49274,4.5259,0.97069,0.000236959,0.000236959,0.000236959
54,659.912,1.89474,2.43449,0.95692,0.47936,0.1207,0.11915,0.05631,2.32623,4.43667,0.95287,0.000229208,0.000229208,0.000229208
55,672.892,1.84198,2.39076,0.906,0.45463,0.12332,0.12256,0.05108,2.43931,4.40477,0.96092,0.00022148,0.00022148,0.00022148
56,685.611,1.84734,2.38728,0.90486,0.46218,0.1291,0.12253,0.05891,2.31552,4.52194,0.95207,0.000213782,0.000213782,0.000213782
57,698.582,1.84067,2.32058,0.90432,0.54861,0.12183,0.12817,0.05898,2.4284,4.86893,0.9742,0.000206123,0.000206123,0.000206123
58,711.672,1.8148,2.28164,0.92484,0.51266,0.11549,0.11855,0.05977,2.2415,4.54064,0.95518,0.00019851,0.00019851,0.00019851
59,724.694,1.87927,2.33888,0.91247,0.47646,0.10016,0.11442,0.0556,2.43938,4.41929,0.97719,0.000190949,0.000190949,0.000190949
60,737.645,1.86278,2.31824,0.90046,0.54396,0.09079,0.11609,0.05771,2.38224,4.32806,0.96942,0.00018345,0.00018345,0.00018345
61,750.593,1.80277,2.1888,0.89474,0.53272,0.10096,0.12107,0.05925,2.32922,4.43264,0.96148,0.000176018,0.000176018,0.000176018
62,763.504,1.77355,2.20538,0.91305,0.61316,0.087,0.11049,0.05858,2.19686,4.67315,0.94897,0.000168662,0.000168662,0.000168662
63,776.59,1.83036,2.22859,0.89105,0.41376,0.11735,0.11356,0.05398,2.29129,4.65182,0.96224,0.000161389,0.000161389,0.000161389
64,789.431,1.84717,2.28917,0.91657,0.48061,0.11633,0.12487,0.05913,2.30581,4.47389,0.95691,0.000154206,0.000154206,0.000154206
65,802.227,1.97361,2.38816,0.9031,0.48873,0.11657,0.1278,0.06465,2.27077,4.51311,0.9476,0.00014712,0.00014712,0.00014712
66,815.34,1.7751,2.12106,0.8959,0.49774,0.12875,0.12676,0.05734,2.35895,4.48675,0.96061,0.000140137,0.000140137,0.000140137
67,828.359,1.80944,2.08497,0.89312,0.49735,0.12711,0.12723,0.0608,2.36152,4.49641,0.96575,0.000133266,0.000133266,0.000133266
68,841.331,1.83107,2.08317,0.90552,0.48163,0.12487,0.12589,0.06173,2.31138,4.48718,0.95724,0.000126512,0.000126512,0.000126512
69,854.362,1.85804,2.21511,0.88563,0.49974,0.1281,0.12701,0.06405,2.14672,4.43489,0.93591,0.000119883,0.000119883,0.000119883
70,867.224,1.71568,2.12654,0.8959,0.48648,0.12541,0.12816,0.06216,2.17311,4.37883,0.93542,0.000113384,0.000113384,0.000113384
71,880.376,1.84998,2.14502,0.90235,0.57508,0.1123,0.12537,0.05343,2.3207,4.40131,0.95066,0.000107023,0.000107023,0.000107023
72,893.277,1.72024,2.06427,0.8956,0.55328,0.1051,0.11883,0.0591,2.17525,4.34595,0.9363,0.000100806,0.000100806,0.000100806
73,906.317,1.73633,2.00525,0.88448,0.4597,0.1211,0.11558,0.05655,2.22402,4.37177,0.93941,9.47376e-05,9.47376e-05,9.47376e-05
74,919.176,1.74438,2.01165,0.89261,0.46656,0.12832,0.11977,0.05795,2.29555,4.45612,0.94611,8.88253e-05,8.88253e-05,8.88253e-05
75,931.967,1.69633,1.99285,0.88316,0.53811,0.12116,0.12141,0.06215,2.19143,4.40788,0.93883,8.30746e-05,8.30746e-05,8.30746e-05
76,944.991,1.81751,2.10796,0.88963,0.54497,0.1193,0.12772,0.06303,2.22003,4.41616,0.93624,7.74911e-05,7.74911e-05,7.74911e-05
77,957.862,1.78287,2.00231,0.91196,0.52271,0.12677,0.12777,0.06142,2.24131,4.41841,0.94129,7.20803e-05,7.20803e-05,7.20803e-05
78,970.747,1.71388,1.96058,0.89244,0.52325,0.12539,0.12704,0.06437,2.14401,4.52479,0.93108,6.68475e-05,6.68475e-05,6.68475e-05
79,983.699,1.72896,1.9624,0.89449,0.58065,0.11683,0.12998,0.06742,2.15224,4.53537,0.93189,6.1798e-05,6.1798e-05,6.1798e-05
80,997.074,1.66633,1.95999,0.88954,0.58724,0.10983,0.13107,0.06983,2.13336,4.47086,0.93319,5.69366e-05,5.69366e-05,5.69366e-05
81,1010.53,1.58732,1.87401,0.8718,0.53775,0.11932,0.14101,0.07472,2.15664,4.51353,0.93282,5.22683e-05,5.22683e-05,5.22683e-05
82,1023.67,1.61205,1.90176,0.87892,0.55954,0.11527,0.13837,0.06447,2.34407,4.56279,0.94715,4.77976e-05,4.77976e-05,4.77976e-05
83,1036.6,1.62039,1.76837,0.87969,0.54418,0.11948,0.13161,0.05946,2.3997,4.54244,0.95594,4.35288e-05,4.35288e-05,4.35288e-05
84,1049.5,1.5698,1.75043,0.867,0.53824,0.11183,0.12974,0.06289,2.30608,4.49966,0.94484,3.94663e-05,3.94663e-05,3.94663e-05
85,1062.42,1.62131,1.81287,0.88104,0.51788,0.122,0.13175,0.06661,2.20193,4.47815,0.93802,3.56141e-05,3.56141e-05,3.56141e-05
86,1075.21,1.54078,1.64846,0.86651,0.49167,0.12221,0.13307,0.06767,2.19884,4.5258,0.9369,3.19759e-05,3.19759e-05,3.19759e-05
87,1088.07,1.52002,1.61791,0.87198,0.47116,0.13095,0.13349,0.06673,2.22442,4.57215,0.9405,2.85553e-05,2.85553e-05,2.85553e-05
88,1101.02,1.54037,1.73382,0.86716,0.49006,0.12894,0.13423,0.06616,2.27418,4.62608,0.94119,2.53557e-05,2.53557e-05,2.53557e-05
89,1113.88,1.58698,1.65878,0.88958,0.53048,0.12336,0.13555,0.06745,2.28746,4.65258,0.93973,2.23803e-05,2.23803e-05,2.23803e-05
90,1126.82,1.56242,1.71661,0.88835,0.53806,0.12381,0.13605,0.06968,2.24336,4.60843,0.93736,1.9632e-05,1.9632e-05,1.9632e-05
91,1139.82,1.58986,1.7003,0.8688,0.51458,0.12978,0.13977,0.07302,2.19678,4.58323,0.93566,1.71135e-05,1.71135e-05,1.71135e-05
92,1152.69,1.49136,1.65811,0.86638,0.49102,0.13508,0.13988,0.07424,2.19159,4.59613,0.9355,1.48273e-05,1.48273e-05,1.48273e-05
93,1165.57,1.46185,1.62358,0.84816,0.49341,0.12955,0.14162,0.0733,2.19163,4.62214,0.93469,1.27757e-05,1.27757e-05,1.27757e-05
94,1178.43,1.55343,1.6266,0.87867,0.5017,0.12793,0.1427,0.07291,2.19811,4.5978,0.93421,1.09606e-05,1.09606e-05,1.09606e-05
95,1191.46,1.56902,1.61573,0.88415,0.48706,0.12977,0.14394,0.0731,2.2166,4.60833,0.9361,9.38391e-06,9.38391e-06,9.38391e-06
96,1204.23,1.65827,1.7291,0.87164,0.4846,0.1318,0.1432,0.07287,2.21836,4.57904,0.93563,8.04714e-06,8.04714e-06,8.04714e-06
97,1216.93,1.52946,1.6499,0.8681,0.50145,0.12854,0.14286,0.07181,2.23503,4.5962,0.93656,6.95161e-06,6.95161e-06,6.95161e-06
98,1229.93,1.56528,1.62041,0.874,0.49295,0.13531,0.1417,0.07071,2.24295,4.59282,0.93862,6.09841e-06,6.09841e-06,6.09841e-06
99,1243,1.48427,1.6145,0.85007,0.48733,0.13849,0.14214,0.07027,2.2386,4.59077,0.93817,5.48838e-06,5.48838e-06,5.48838e-06
100,1256,1.65561,1.57082,0.89253,0.48215,0.14115,0.14196,0.07204,2.2181,4.59644,0.93619,5.12213e-06,5.12213e-06,5.12213e-06
